채널명,성향(추정·내부관리용),운영 주체 유형,구독자(확인치·시점),활동성 근거,비고 / 확인 필요 사항,channel_id/URL,최근30일_평균조회수,주간_업로드수,정치시사_비중%,기준_주제적합(Y/N),기준_규모(Y/N),기준_활동성(Y/N),기준_발언중심(Y/N),통과여부(통과|탈락|예외등재),탈락·예외사유
김어준의 겸손은힘들다 뉴스공장,진보(추정),논객·미디어,231만 (2026.01 보도),슈퍼챗 상위 (2026.05),일 라이브. 물량 최다급 — 처리비용 상한 정책 필요,,,,,,,,,,
[팟빵] 최욱의 매불쇼,진보(추정),미디어,288만 (2026.02 보도),슈퍼챗 상위 (2026.05),시사+예능 혼합 — 발언 추출 노이즈 확인,,,,,,,,,,
스픽스 SPEAKS,진보(추정),미디어,확인 필요,확인 필요,,,,,,,,,,,
새날,진보(추정),논객,확인 필요,확인 필요,,,,,,,,,,,
김용민TV,진보(추정),논객·전 언론인,87만+ (2024.08 자체 공지),확인 필요,,,,,,,,,,,
오마이TV,진보(추정),언론사,확인 필요,확인 필요,오마이뉴스 운영,,,,,,,,,,
미디어 민중의소리 MediaVOP,진보,언론사,확인 필요,확인 필요,,,,,,,,,,,
시사타파TV,진보(추정),논객,확인 필요,슈퍼챗 상위 (2026.05),,,,,,,,,,,
뉴탐사 NewTamsa,진보(추정),탐사·미디어,확인 필요,슈퍼챗 상위 (2026.05),소송 이력 등 리스크 확인,,,,,,,,,,
빨간아재,진보(추정),논객,확인 필요,확인 필요,,,,,,,,,,,
사장남천동,진보(추정),논객,확인 필요,확인 필요,,,,,,,,,,,
알릴레오 (사람사는세상),진보(추정),재단·미디어,확인 필요,확인 필요,유시민 출연 콘텐츠 여부 확인,,,,,,,,,,
장윤선의 취재편의점,진보(추정),전 언론인,확인 필요,확인 필요,,,,,,,,,,,
박시영TV,진보(추정),여론조사·전문가,확인 필요,확인 필요,여론조사 해석 콘텐츠 — 전문가형 대안,,,,,,,,,,
한두자니S2,성향 확인 필요,확인 필요,확인 필요,슈퍼챗 1위 (2026.05),성향·포맷 미확인 — 우선 확인,,,,,,,,,,
뿌꾸삼촌,성향 확인 필요,확인 필요,확인 필요,슈퍼챗 상위 (2026.05),,,,,,,,,,,
윤PD TV,성향 확인 필요,확인 필요,확인 필요,슈퍼챗 상위 (2026.05),,,,,,,,,,,
이큐채널,성향 확인 필요,확인 필요,확인 필요,슈퍼챗 상위 (2026.05),,,,,,,,,,,
진성호방송,보수,전 언론인·전 의원,182만 (2024 나무위키),확인 필요,,,,,,,,,,,
신의한수,보수,전 언론인,150만 (2024),슈퍼챗 상위 (2026.05),,,,,,,,,,,
배승희 변호사,보수,변호사,122만 (2024),확인 필요,,,,,,,,,,,
고성국TV,보수,평론가,102만 (2024),확인 필요,,,,,,,,,,,
펜앤드마이크TV,보수,언론사,89만 (2024),확인 필요,,,,,,,,,,,
이봉규TV,보수,평론가,88만 (2024),확인 필요,,,,,,,,,,,
김태우TV,보수,전 언론인,76만 (2024),확인 필요,,,,,,,,,,,
성창경TV,보수,전 언론인(KBS),확인 필요,확인 필요,,,,,,,,,,,
황장수의 뉴스브리핑,보수,평론가,52만 (2024),확인 필요,,,,,,,,,,,
보수미,보수(추정),확인 필요,확인 필요,슈퍼챗 상위 (2026.05),,,,,,,,,,,
신인균의 국방TV,보수(추정),군사 전문,확인 필요,확인 필요,국방·안보 특화 — 주제 적합 70% 기준 확인,,,,,,,,,,
가로세로연구소,보수,논객,83만 (2024),확인 필요,법적 분쟁 이력 다수 — 편입 시 리스크 검토 필수,,,,,,,,,,
최병묵의 FACT,보수(추정),전 언론인,확인 필요,확인 필요,,,,,,,,,,,
서정욱TV,보수(추정),변호사,확인 필요,확인 필요,,,,,,,,,,,
이재명 (대통령 취임 전 채널),여권,정치인 본인,확인 필요,취임 후 운영 상태 확인,대통령 취임 후 채널 지위 확인 필요,,,,,,,,,,
홍카콜라 (홍준표),보수,정치인 본인,확인 필요,확인 필요,,,,,,,,,,,
이준석 채널,제3지대,정치인 본인,확인 필요,확인 필요,,,,,,,,,,,
장동혁 채널,보수,정치인 본인,확인 필요,확인 필요,당대표 취임 후 활동 확인,,,,,,,,,,
정청래TV,진보,정치인 본인,확인 필요,확인 필요,,,,,,,,,,,
박주민TV,진보,정치인 본인,확인 필요,확인 필요,,,,,,,,,,,
국회방송 NATV,중립·제도권,공영,확인 필요,상시,본회의·상임위 원본 — 발언 원료로 가치 높음,,,,,,,,,,
MBC 뉴스외전,중립·언론사,언론사 정치 프로그램,확인 필요,평일 상시,,,,,,,,,,,
채널A 뉴스TOP10,중립·언론사(보수계 모기업),언론사 정치 프로그램,확인 필요,평일 상시,,,,,,,,,,,
JTBC 장르만 여의도,중립·언론사,언론사 정치 프로그램,운영 여부 확인,확인 필요,종영 시 대체: JTBC 뉴스 정치 코너,,,,,,,,,,
CBS 한판승부,중립·언론사,언론사 정치 프로그램,확인 필요,확인 필요,,,,,,,,,,,
씨리얼 C-Real,중립·언론사(CBS),미디어,확인 필요,확인 필요,청년층 시사 — 포맷 적합성 확인,,,,,,,,,,
김지윤의 지식Play,중립·전문가,정치학자,확인 필요,확인 필요,국제정치 중심 — 국내정치 비중 확인,,,,,,,,,,
여의도튜브 (머니투데이),중립·언론사,언론사 정치 채널,확인 필요,확인 필요,,,,,,,,,,,
여론싸움 (리얼미터 등 데이터형),중립·전문가,여론조사·데이터,채널 실존·명칭 확인,확인 필요,데이터형 채널 1곳 필수 확보 권장,,,,,,,,,,
삼프로TV 정치 콘텐츠,중립·전문가,미디어,확인 필요,확인 필요,경제 중심 — 정치 코너만 해당. 주제 70% 기준 미달 가능성,,,,,,,,,,
